KTADocumentID,ResultadoFraude,IndicatorIndex,Ind_ID,Ind_Type,Ind_Category,Ind_Title,Ind_Description
95f57b48-6cf5-4433-b717-b1db016ace6a,WARNING,7,has_piece_info,INFO,internal_structure_modifications,Third-party application data found,Data from WPS_ICV was detected in the document structure. This indicates that this application has been used to create or modify the document.
95f57b48-6cf5-4433-b717-b1db016ace6a,WARNING,8,has_link_annotations,INFO,annotations,Contains link annotations,"This document contains a hyphertext link to a destination inside or outside of the document, e.g. a website."
95f57b48-6cf5-4433-b717-b1db016ace6a,WARNING,9,is_pdf_modified_per_metadata,RISK,metadata_modifications,Evidence of modification based on document metadata,Time of creation is 2023-12-27T16:27:23+00:00 but the time of modification is 2023-12-27T09:47:35+00:00. This may indicate that the document was updated or modified. The time span between creation and modification is -6:39:48.
96088279-525c-4a7d-9331-b1db016b0ffe,WARNING,1,digital_print,RISK,content_hiding,Digital print,This document was converted directly from a digital PDF to an image. This is highly suspicious as there is no legitimate reason to do so.
960cbc30-730d-48ad-96fd-b1db016afaac,WARNING,1,digital_print,RISK,content_hiding,Digital print,This document was converted directly from a digital PDF to an image. This is highly suspicious as there is no legitimate reason to do so.
96114b4a-502f-49c6-8400-b1db016aa925,WARNING,1,has_word_over_image,RISK,content_hiding,Contains word over image,This document contains words on top of an image. The added text may hide original content of the background image.
96114b4a-502f-49c6-8400-b1db016aa925,WARNING,2,has_dxperience_metadata,INFO,known_creator,Saved in DXperience,The document was processed and saved in DXperience - software for designing other software.
96114b4a-502f-49c6-8400-b1db016aa925,WARNING,3,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
96114b4a-502f-49c6-8400-b1db016aa925,WARNING,4,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
9640df9a-b96e-41d1-a7dc-b179000e45d8,WARNING,1,has_word_over_image,RISK,content_hiding,Contains word over image,This document contains words on top of an image. The added text may hide original content of the background image.
9640df9a-b96e-41d1-a7dc-b179000e45d8,WARNING,2,has_scaled_image,INFO,content_hiding,Contains up-scaled or stretched image,"An image embedded in this document is stretched or scaled. This may indicate that the image originates from different source, e.g. stamp or signature re-used from another document."
9640df9a-b96e-41d1-a7dc-b179000e45d8,WARNING,3,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
9640df9a-b96e-41d1-a7dc-b179000e45d8,WARNING,4,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
9640df9a-b96e-41d1-a7dc-b179000e45d8,WARNING,5,has_itext_metadata,INFO,known_creator,Saved in iText,The document was processed and saved in iText - software library (Java language) for generating PDF files.
964a925e-77dd-4390-a635-b179000e45f1,WARNING,1,has_word_over_image,RISK,content_hiding,Contains word over image,This document contains words on top of an image. The added text may hide original content of the background image.
964a925e-77dd-4390-a635-b179000e45f1,WARNING,2,has_scaled_image,INFO,content_hiding,Contains up-scaled or stretched image,"An image embedded in this document is stretched or scaled. This may indicate that the image originates from different source, e.g. stamp or signature re-used from another document."
964a925e-77dd-4390-a635-b179000e45f1,WARNING,3,is_pdf_unmodified_per_metadata,TRUST,authenticity,No modification in document metadata,Timestamps in this document's metadata do not indicate that the file was incrementally updated or modified.
964a925e-77dd-4390-a635-b179000e45f1,WARNING,4,is_pdf_unmodified_per_trailer_id,TRUST,authenticity,No modification in document trailer,"File trailer, which describes the internal structure of this document, does not indicate that the file was incrementally updated or modified."
964a925e-77dd-4390-a635-b179000e45f1,WARNING,5,has_itext_metadata,INFO,known_creator,Saved in iText,The document was processed and saved in iText - software library (Java language) for generating PDF files.
965bcc7d-2ea5-4166-9241-b1780181af81,WARNING,1,digital_print,RISK,content_hiding,Digital print,This document was converted directly from a digital PDF to an image. This is highly suspicious as there is no legitimate reason to do so.
96772b29-1fa4-4392-b04c-b179002d8480,WARNING,1,screenshot,RISK,content_hiding,Screenshot,This image contains screenshot which may be a policy violation.
96772b29-1fa4-4392-b04c-b179002d8480,WARNING,2,has_smartphone_header_footer,INFO,modifications,Image contains regions resembling smartphone/tablet screenshot header and footer,The image was probably created as a screenshot of a smartphone/tablet screen.
96b7efef-de9c-4c30-ae68-b179001aba57,WARNING,1,has_known_pdf_language,INFO,metadata,Declared document language is Spanish (Chile),The creator of this document declared Spanish (Chile) as the language of the document's content.
96b7efef-de9c-4c30-ae68-b179001aba57,WARNING,2,digital_print,RISK,content_hiding,Digital print,The document contains pages that were converted directly from a digital PDF to an image and were then put back into a new PDF document. This is highly suspicious and may indicate content manipulation.
